"time_elapsed","TrialNum","Cue1_Stimulus","Cue1_Duration","ISI","Cue2_Stimulus","Cue2_Duration","ITI","Correct_Response","Response","IsCorrect","RT"
"343037","70","img/orange_fixate.png","1000","1300","img/orange.png","2000","1000","null","null","true","null"
"348478","71","img/black_fixate.png","1000","1400","img/black.png","2000","1000","null","null","true","null"
"352281","72","img/blue_fixate.png","1000","1300","img/blue.png","2000","1000"," "," ","true","475"
"357823","73","img/blue_fixate.png","1000","1500","img/orange.png","2000","1000","null","null","true","null"
"361865","74","img/orange_fixate.png","1000","1500","img/blue.png","2000","1000"," "," ","true","528"
"367489","75","img/blue_fixate.png","1000","1600","img/orange.png","2000","1000","null","null","true","null"
"372832","76","img/orange_fixate.png","1000","1300","img/orange.png","2000","1000","null","null","true","null"
"376817","77","img/orange_fixate.png","1000","1400","img/blue.png","2000","1000"," "," ","true","562"
"382239","78","img/blue_fixate.png","1000","1400","img/orange.png","2000","1000","null","null","true","null"
"386161","79","img/blue_fixate.png","1000","1500","img/blue.png","2000","1000"," "," ","true","383"
"391401","80","img/orange_fixate.png","1000","1200","img/orange.png","2000","1000","null","null","true","null"
"396933","81","img/blue_fixate.png","1000","1500","img/orange.png","2000","1000","null","null","true","null"
"401113","82","img/blue_fixate.png","1000","1400","img/blue.png","2000","1000"," "," ","true","769"
"406549","83","img/orange_fixate.png","1000","1400","img/orange.png","2000","1000","null","null","true","null"
"410441","84","img/blue_fixate.png","1000","1400","img/blue.png","2000","1000"," "," ","true","474"
"415966","85","img/black_fixate.png","1000","1500","img/black.png","2000","1000","null","null","true","null"
"421219","86","img/black_fixate.png","1000","1200","img/black.png","2000","1000","null","null","true","null"
"426851","87","img/black_fixate.png","1000","1600","img/black.png","2000","1000","null","null","true","null"
"430649","88","img/blue_fixate.png","1000","1300","img/blue.png","2000","1000"," "," ","true","473"
"436184","89","img/orange_fixate.png","1000","1500","img/orange.png","2000","1000","null","null","true","null"
"441523","90","img/black_fixate.png","1000","1300","img/black.png","2000","1000","null","null","true","null"
"445633","91","img/blue_fixate.png","1000","1500","img/blue.png","2000","1000"," "," ","true","580"
"450882","92","img/black_fixate.png","1000","1200","img/black.png","2000","1000","null","null","true","null"
"454889","93","img/blue_fixate.png","1000","1500","img/blue.png","2000","1000"," "," ","true","482"
"460222","94","img/black_fixate.png","1000","1300","img/black.png","2000","1000","null","null","true","null"
"465868","95","img/orange_fixate.png","1000","1600","img/orange.png","2000","1000","null","null","true","null"
"469626","96","img/blue_fixate.png","1000","1200","img/blue.png","2000","1000"," "," ","true","528"
"475058","97","img/blue_fixate.png","1000","1400","img/orange.png","2000","1000","null","null","true","null"
"479040","98","img/blue_fixate.png","1000","1600","img/blue.png","2000","1000"," "," ","true","362"
"484371","99","img/blue_fixate.png","1000","1300","img/orange.png","2000","1000","null","null","true","null"
"489595","100","img/black_fixate.png","1000","1200","img/black.png","2000","1000","null","null","true","null"
"493504","101","img/blue_fixate.png","1000","1400","img/blue.png","2000","1000"," "," ","true","482"
"499065","102","img/orange_fixate.png","1000","1500","img/orange.png","2000","1000","null","null","true","null"
"504605","103","img/orange_fixate.png","1000","1500","img/orange.png","2000","1000","null","null","true","null"
"510137","104","img/black_fixate.png","1000","1500","img/black.png","2000","1000","null","null","true","null"
"515470","105","img/orange_fixate.png","1000","1300","img/orange.png","2000","1000","null","null","true","null"
"519433","106","img/blue_fixate.png","1000","1500","img/blue.png","2000","1000"," "," ","true","435"
"523584","107","img/orange_fixate.png","1000","1600","img/blue.png","2000","1000"," "," ","true","538"
"529210","108","img/black_fixate.png","1000","1600","img/black.png","2000","1000","null","null","true","null"
"533161","109","img/blue_fixate.png","1000","1400","img/blue.png","2000","1000"," "," ","true","533"
"538801","110","img/orange_fixate.png","1000","1600","img/orange.png","2000","1000","null","null","true","null"
"544023","111","img/black_fixate.png","1000","1200","img/black.png","2000","1000","null","null","true","null"
"549252","112","img/orange_fixate.png","1000","1200","img/orange.png","2000","1000","null","null","true","null"
"554573","113","img/blue_fixate.png","1000","1300","img/orange.png","2000","1000","null","null","true","null"
"558512","114","img/blue_fixate.png","1000","1200","img/blue.png","2000","1000"," "," ","true","708"
"563942","115","img/black_fixate.png","1000","1400","img/black.png","2000","1000","null","null","true","null"
"567849","116","img/orange_fixate.png","1000","1200","img/blue.png","2000","1000"," "," ","true","689"
"571976","117","img/orange_fixate.png","1000","1300","img/blue.png","2000","1000"," "," ","true","785"
"576064","118","img/blue_fixate.png","1000","1600","img/blue.png","2000","1000"," "," ","true","467"
"579864","119","img/orange_fixate.png","1000","1300","img/blue.png","2000","1000"," "," ","true","460"
"585385","120","img/orange_fixate.png","1000","1500","img/orange.png","2000","1000","null","null","true","null"
"590826","121","img/black_fixate.png","1000","1400","img/black.png","2000","1000","null","null","true","null"
"596458","122","img/blue_fixate.png","1000","1600","img/orange.png","2000","1000","null","null","true","null"
"600528","123","img/blue_fixate.png","1000","1600","img/blue.png","2000","1000"," "," ","true","447"
"606038","124","img/black_fixate.png","1000","1500","img/black.png","2000","1000","null","null","true","null"
"611674","125","img/orange_fixate.png","1000","1600","img/orange.png","2000","1000","null","null","true","null"
"617205","126","img/black_fixate.png","1000","1500","img/black.png","2000","1000","null","null","true","null"
"622643","127","img/black_fixate.png","1000","1400","img/black.png","2000","1000","null","null","true","null"
"628173","128","img/black_fixate.png","1000","1500","img/black.png","2000","1000","null","null","true","null"
"631848","129","img/blue_fixate.png","1000","1200","img/blue.png","2000","1000"," "," ","true","439"
"637483","130","img/black_fixate.png","1000","1600","img/black.png","2000","1000","null","null","true","null"
"641416","131","img/blue_fixate.png","1000","1300","img/blue.png","2000","1000"," "," ","true","609"
"646762","132","img/orange_fixate.png","1000","1300","img/orange.png","2000","1000","null","null","true","null"
"652384","133","img/black_fixate.png","1000","1600","img/black.png","2000","1000","null","null","true","null"
"657728","134","img/black_fixate.png","1000","1300","img/black.png","2000","1000","null","null","true","null"
"663164","135","img/orange_fixate.png","1000","1400","img/orange.png","2000","1000","null","null","true","null"
