trial_num,cue1_stimulus,cue1_duration,isi,cue2_stimulus,cue2_duration,iti,correct_response
88,cue1_orangeHigh_blueLow,1000,1320,cue2_orange,2000,1000,
89,cue1_orange,1000,1520,cue2_orange,2000,1000,
90,cue1_blueHigh_orangeLow,1000,1540,cue2_blue,2000,1000, 
91,cue1_orangeHigh_blueLow,1000,1433,cue2_blue,2000,1000, 
92,cue1_orange,1000,1360,cue2_orange,2000,1000,
93,cue1_orangeHigh_blueLow,1000,1600,cue2_orange,2000,1000,
94,cue1_blueHigh_orangeLow,1000,1267,cue2_orange,2000,1000,
95,cue1_blueHigh_orangeLow,1000,1500,cue2_blue,2000,1000, 
96,cue1_orange,1000,1100,cue2_orange,2000,1000,
97,cue1_orangeHigh_blueLow,1000,1489,cue2_blue,2000,1000, 
98,cue1_blueHigh_orangeLow,1000,1380,cue2_blue,2000,1000, 
99,cue1_orangeHigh_blueLow,1000,1560,cue2_orange,2000,1000,
100,cue1_blueHigh_orangeLow,1000,1433,cue2_orange,2000,1000,
101,cue1_blueHigh_orangeLow,1000,1580,cue2_blue,2000,1000, 
102,cue1_orange,1000,1120,cue2_orange,2000,1000,
103,cue1_orangeHigh_blueLow,1000,1180,cue2_orange,2000,1000,
104,cue1_orange,1000,1420,cue2_orange,2000,1000,
105,cue1_blueHigh_orangeLow,1000,1400,cue2_blue,2000,1000, 
106,cue1_blueHigh_orangeLow,1000,1220,cue2_blue,2000,1000, 
107,cue1_orangeHigh_blueLow,1000,1267,cue2_blue,2000,1000, 
108,cue1_orangeHigh_blueLow,1000,900,cue2_blue,2000,1000, 
